"('not yet another barbecue sauce', 'Malty')"
"('light cafe mocha mix', 'Roasty')"
"('penne with braised squash   greens', 'Hoppy')"
"('jean s stuffed french toast strata', 'Malty')"
"('strawberry champagne sorbet', 'Hoppy')"
"('pork with broccoli', 'Malty')"
"('best ever buffalo wings', 'Fruity/Spicy')"
"('no fat added chocolate peanut butter cookies', 'Roasty')"
"('oven hash', 'Hoppy')"
"('easy brown rice with peppers and zucchini', 'Hoppy')"
"('braune lebkuchen', 'Malty')"
"('apple juice slushie', 'Malty')"
"('meatballs with satay dipping sauce', 'Hoppy')"
"('brickle bundt cake', 'Specialty')"
"('carrabba s chicken gratella', 'Fruity/Spicy')"
"('chocolate zucchini bread', 'Specialty')"
"('turkey filling', 'Hoppy')"
"('spanish chicken salad', 'Hoppy')"
"('diabetic pumpkin pie', 'Specialty')"
"('truffle dressing  herb salad', 'Hoppy')"
"('berry cream cake', 'Fruity/Spicy')"
"('blueberry mustard', 'Malty')"
"('almond and pistachio rice with chicken', 'Malty')"
"('lex s southern raised biscuits', 'Malty')"
"('spinach fettuccine with roasted veggies', 'Fruity/Spicy')"
"('cherry and almond clafouti   baked custard', 'Sour')"
"('blueberry corn custard', 'Hoppy')"
"('mrs  fields pecan pie brownies', 'Roasty')"
"('biscuit taco casserole', 'Hoppy')"
"('extra meaty baked ziti', 'Fruity/Spicy')"
"('crispy rice chicken', 'Malty')"
"('german potato salad', 'Hoppy')"
"('parmesan and garlic breadsticks', 'Hoppy')"
"('beefy macaroni casserole for one  diabetic', 'Hoppy')"
"('cauliflower cheese pot pies', 'Hoppy')"
"('two ingredient pumpkin brownies', 'Specialty')"
"('high rise mashed potato biscuits   breadsticks', 'Malty')"
"('cool and creamy cucumber salad', 'Crisp')"
"('jet swirl pizza appetizers', 'Fruity/Spicy')"
"('breaded italian green beans', 'Malty')"
"('sweet corn pudding', 'Specialty')"
"('caramel creme sandwich cookies', 'Specialty')"
"('pineapple paradise cookies', 'Roasty')"
"('potato scones', 'Hoppy')"
"('blackeyed peas and cajun sausage', 'Hoppy')"
"('microwave caramel biscuits', 'Malty')"
"('glazed vegemite chicken fillets', 'Malty')"
"('corn dog bread', 'Malty')"
"('cabbage beef stuffed bread buns  runza', 'Hoppy')"
"('fish tortillas', 'Crisp')"
"('sticky ginger fig cake with cinnamon brandy sauce', 'Specialty')"
"('gluten free morning glory muffins', 'Malty')"
"('lemon glazed vegetables', 'Hoppy')"
"('hungarian lecso   pepper  sausage and tomato stew', 'Smoky')"
"('bermudan style rice', 'Smoky')"
"('malaysian curry puff', 'Hoppy')"
"('no puree cauliflower soup', 'Malty')"
"('gingerbread pear upside down cake', 'Specialty')"
"('pineapple cheese dip', 'Specialty')"
"('garbanzo hot pot', 'Rich/Hearty')"
"('smoked salmon and capers in a champagne sauce for pasta', 'Smoky')"
"('speedy  bread on hot stone', 'Malty')"
"('baked swiss steak', 'Hoppy')"
"('old south blue cheese dressing or dip', 'Hoppy')"
"('swiss cheese kugel', 'Specialty')"
"('chicken stir fry with chili and basil', 'Fruity/Spicy')"
"('reduced fat double layered chocolate pie', 'Specialty')"
"('green tomato preserves', 'Fruity/Spicy')"
"('ziti with broccoli and rosemary', 'Fruity/Spicy')"
"('breakfast baklava', 'Malty')"
"('sausage  zucchini  spinach and tomato pasta', 'Hoppy')"
"('pureed watercress', 'Hoppy')"
"('ez asian chicken or turkey stir fry', 'Crisp')"
"('apple cinnamon coffee cake', 'Malty')"
"('caramelized oven asparagus', 'Hoppy')"
"('parmesan herb butter', 'Hoppy')"
"('ground turkey bolognese sause  my rendition of it  anyway', 'Fruity/Spicy')"
"('brown butter and balsamic sauce', 'Crisp')"
"('sharon s amazing chicken casserole', 'Hoppy')"
"('basic butter cake', 'Specialty')"
"('pan fried stuffed buns', 'Fruity/Spicy')"
"('hot fudge cake  crock pot', 'Specialty')"
"('pineapple corn salad', 'Malty')"
"('extreme lemon bundt cake', 'Hoppy')"
"('nif s perfect poached egg', 'Roasty')"
"('dar s hot dog chili sauce', 'Hoppy')"
"('sweet and sour carrots', 'Malty')"
"('chocolate martini', 'Specialty')"
"('pineapple cooler', 'Hoppy')"
"('vidalia tomato pie', 'Fruity/Spicy')"
"('salmon fillets with apple butter', 'Fruity/Spicy')"
"('sam s birth day spaghetti carbonara', 'Hoppy')"
"('dilled zucchini  plain   simple', 'Hoppy')"
"('caribbean coconut shrimp', 'Smoky')"
"('apple dijon pork roast', 'Malty')"
"('baked cinnamon bread', 'Specialty')"
"('sour cream   lemon pound cake', 'Hoppy')"
"('grandma mac s cottage cheese salad', 'Hoppy')"
"('peanut butter cup cookies   wowzers', 'Specialty')"
"('sweet potato bake with shredded plantain and coconut topping', 'Hoppy')"
"('easy potlikker', 'Smoky')"
"('potato  caramelized onion  and goat cheese gratin', 'Fruity/Spicy')"
"('sorta spicy mexican chip casserole  not hot', 'Specialty')"
"('jalapeno nut brittle', 'Hoppy')"
"('middle eastern lamb salad with spinach   feta  low carb', 'Hoppy')"
"('oven baked  best ever  juiciest chicken', 'Hoppy')"
"('easiest chip dip ever', 'Specialty')"
"('red velvet waffles', 'Sour')"
"('african salad', 'Hoppy')"
"('low calorie asparagus   egg whites', 'Hoppy')"
"('poor man s feast', 'Rich/Hearty')"
"('carrot mango smoothie', 'Specialty')"
"('sri wasano s infamous indonesian rice salad', 'Hoppy')"
"('eggs n  potatoes', 'Malty')"
"('green beans with bacon   onion', 'Smoky')"
"('iced tea with a twist', 'Fruity/Spicy')"
"('bishop s brown derby with diablo sauce', 'Hoppy')"
"('mimosas', 'Fruity/Spicy')"
"('italian winter soup', 'Hoppy')"
"('the naughty burger', 'Hoppy')"
"('zucchini they will eat', 'Fruity/Spicy')"
"('veal chops with avocado', 'Crisp')"
"('laura s family secret creamy italian dressing', 'Hoppy')"
"('pork chops and rice', 'Malty')"
"('chocolate chip cake', 'Specialty')"
"('mongolian lamb', 'Hoppy')"
"('low cal vegetable siew mai', 'Hoppy')"
"('peanut butter protein snack wrap', 'Malty')"
"('black cherry cake', 'Sour')"
"('carrot pachadi', 'Rich/Hearty')"
"('herbed green beans', 'Hoppy')"
"('vermont maple smoothie', 'Malty')"
"('mary poppins  no bake cookies', 'Specialty')"
"('squashed burgers and chips', 'Hoppy')"
"('this little piggy went sailing  pork sausage in an acorn boat', 'Malty')"
"('fruit slush', 'Malty')"
"('pumpkin pie bars', 'Specialty')"
"('speedy chili', 'Hoppy')"
"('grilled ginger salmon', 'Fruity/Spicy')"
"('crisco buttercream', 'Specialty')"
"('vegan chocolate peanut butter torte with ganache', 'Roasty')"
"('roasted red pepper stuffed mushrooms', 'Hoppy')"
"('beef ragout', 'Hoppy')"
"('potato casserole   mashed potatoes', 'Specialty')"
"('lime cayenne mayonnaise', 'Hoppy')"
"('quick  easy and tasty spaghetti carbonara', 'Hoppy')"
"('vegetable fritters with corn salsa  can be gluten free', 'Hoppy')"
"('cranberry pistachio biscotti  cookie mix', 'Sour')"
"('soba in broth', 'Malty')"
"('tropical peach smoothie', 'Malty')"
"('quiche   spinach and bacon', 'Fruity/Spicy')"
"('hawaiian margarita', 'Fruity/Spicy')"
"('simple pecan rolls', 'Malty')"
"('raymond anderson s original okra supreme', 'Malty')"
"('chocolate caramel pie  no bake', 'Specialty')"
"('nana s marshmallow salad', 'Specialty')"
"('sneaky wheat super fudge brownies', 'Specialty')"
"('appled sweet potatoes', 'Malty')"
"('soft   chewy chocolate chip cookies', 'Specialty')"
"('weight watchers chickpea soup', 'Rich/Hearty')"
"('apple barley pudding', 'Specialty')"
"('best ever pie crust', 'Malty')"
"('dressing for loretta s broccoli salad', 'Malty')"
"('chicken mug pies', 'Malty')"
"('ww tomato soup', 'Hoppy')"
"('tin roof chocolate pie', 'Specialty')"
"('skillet chicken paprikash w  breadcrumb topping', 'Malty')"
"('lemon cordial', 'Hoppy')"
"('the ultimate carob cake', 'Specialty')"
"('liver sausage cream cheese ball', 'Hoppy')"
"('maya angelou s cold potato salad', 'Hoppy')"
"('grilled pineapple with sweet lime  black pepper sauce', 'Crisp')"
"('warm bean and herb salad', 'Hoppy')"
"('cucumber turkey burgers', 'Hoppy')"
"('tomato and balsamic pasta', 'Fruity/Spicy')"
"('soda pop ribs', 'Malty')"
"('bean and vegetable tortilla stacks', 'Hoppy')"
"('lets talk turkey  burgers with chipotle mayo   a1', 'Hoppy')"
"('coconut kisses', 'Malty')"
"('sauteed hog dogs and macaroni', 'Hoppy')"
"('aloe cucumber refresher', 'Fruity/Spicy')"
"('mama brown s chocolate pie', 'Malty')"
"('graham cracker meatloaf  oamc', 'Hoppy')"
"('best chicken stroganoff', 'Malty')"
"('filet mignon with dijon sauce', 'Hoppy')"
"('corn flake chicken nuggets', 'Malty')"
"('tomato sauce in crock pot', 'Hoppy')"
"('american kitchen classic macaroni salad', 'Hoppy')"
"('ranch pasta salad', 'Fruity/Spicy')"
"('turkey tenderloins with spiced cranberry sauce', 'Specialty')"
"('raspberry cranberry dessert preserves', 'Fruity/Spicy')"
"('yummy popcorn', 'Hoppy')"
"('chinese stir fried beef noodles', 'Malty')"
"('the best chicken saltimbocca', 'Fruity/Spicy')"
"('creamy meatball stroganoff', 'Hoppy')"
"('pot o  gold scones', 'Fruity/Spicy')"
"('velveted fish', 'Hoppy')"
"('olive garden shrimp primavera', 'Hoppy')"
"('my mother s cornbread dressing', 'Rich/Hearty')"
"('neely s gorgonzola creme sauce', 'Hoppy')"
"('roasted miso eggplant', 'Smoky')"
"('honey lime shrimp tacos', 'Crisp')"
"('crunchy nut clusters', 'Roasty')"
"('rock star worthy rum balls', 'Malty')"
"('saute of chicken breasts cilantro', 'Fruity/Spicy')"
"('spicy carrots with parsley and cilantro', 'Hoppy')"
"('low fat holiday sugar cookies with icing that hardens', 'Specialty')"
"('beef casserole', 'Hoppy')"
"('madame wu s spicy noodles', 'Malty')"
"('spaghetti with pancetta and sun dried tomatoes', 'Hoppy')"
"('easy fresh fruit tart', 'Fruity/Spicy')"
"('farfalle with feta and chipotle', 'Fruity/Spicy')"
"('ciambella della nonna  italian breakfast cake', 'Hoppy')"
"('crusty cheese and mustard damperettes', 'Hoppy')"
"('greek yogurt chicken', 'Hoppy')"
"('b l t', 'Smoky')"
"('hummus mashed potatoes', 'Hoppy')"
"('red pepper cheesy puffs', 'Hoppy')"
"('grilled blue marlin over spaghetti squash', 'Hoppy')"
"('sausage cheese biscuits', 'Malty')"
"('low cal dill sauce for poached fish', 'Crisp')"
"('bollywood potato salad  pink potato salad', 'Roasty')"
"('corny  n spicy cornbread', 'Hoppy')"
"('crock pot cheesy cream of broccoli soup', 'Specialty')"
"('food network chicken stir fry', 'Fruity/Spicy')"
"('futomaki   big sushi roll', 'Crisp')"
"('chili mushroom sauce', 'Specialty')"
"('authentic mexican tamale pie', 'Hoppy')"
"('early american beans', 'Malty')"
"('heavenly lemon bread pudding', 'Hoppy')"
"('hot baked potato salad', 'Specialty')"
"('gosh  what easy squash', 'Specialty')"
"('ho ho cake', 'Specialty')"
"('halibut olympia', 'Smoky')"
"('habanero peach bbq sauce', 'Hoppy')"
"('quick  easy oatmeal bars with chocolate topping', 'Specialty')"
"('andes double chocolate chip mint  cookies', 'Specialty')"
"('trick or treat dip', 'Specialty')"
"('mom s traditional italian cookies', 'Specialty')"
"('coq au vin blanc', 'Hoppy')"
"('heinz 57 beef stew', 'Hoppy')"
"('maine boiled lobsters', 'Malty')"
"('roast leg of lamb with red wine gravy', 'Hoppy')"
"('spicy cilantro sauce', 'Hoppy')"
"('chicken a la polly kohen', 'Hoppy')"
"('strawberry tart   cuor di fragola', 'Fruity/Spicy')"
"('stilton potato gratin', 'Fruity/Spicy')"
"('whiskey cream liqueur  ice cream', 'Specialty')"
"('orange margarita', 'Fruity/Spicy')"
"('sticky ginger  lime and chili chicken', 'Malty')"
"('broccoli with two cheese horseradish sauce', 'Specialty')"
"('chocolate peanut butter cups', 'Roasty')"
"('slow cooker chuck roast barbecue', 'Roasty')"
"('mushroom fettuccine parmesan', 'Hoppy')"
"('polynesian pineapple chicken', 'Fruity/Spicy')"
"('west coast whitebait patties', 'Crisp')"
"('charlotte russe', 'Specialty')"
"('twig salad', 'Hoppy')"
"('cheesy dapper apple squares', 'Malty')"
"('fresca refresher', 'Hoppy')"
"('baked barbecue tortilla chips', 'Sour')"
"('cracker cookies', 'Crisp')"
"('malted marshmallow white chocolate royale  paula deen', 'Specialty')"
"('potato cake with tart apples   jarlsberg', 'Hoppy')"
"('browned butter cookies', 'Specialty')"
"('mountain man breakfast', 'Hoppy')"
"('vinaigrette style pasta salad', 'Fruity/Spicy')"
"('chicken breast with chili cheese', 'Fruity/Spicy')"
"('cranberry and strawberry sangria', 'Fruity/Spicy')"
"('heathside sandwiches', 'Specialty')"
"('chorizo  crabmeat quiche', 'Hoppy')"
"('the best chocolate chip bundt cake', 'Specialty')"
"('amy s flavored cappuccino mix', 'Specialty')"
"('harvest vegetable scallop', 'Hoppy')"
"('blushing peach jam', 'Hoppy')"
"('creole ranch salad dressing', 'Fruity/Spicy')"
"('celery salad with feta', 'Hoppy')"
"('french   style pot roasted rock cornish game hens', 'Fruity/Spicy')"
"('salmon or tuna noodles for two', 'Fruity/Spicy')"
"('coconut biscotti', 'Specialty')"
"('cake balls', 'Roasty')"
"('crabby  cracker spread', 'Hoppy')"
"('elote appetizer from the elote cafe', 'Hoppy')"
"('paki  garam masala', 'Hoppy')"
"('fire roasted tomato salad', 'Hoppy')"
"('twice baked caesar potatoes', 'Malty')"
"('maple  orange and basil chicken legs', 'Fruity/Spicy')"
"('easy lime cream pie', 'Crisp')"
"('roasted potatoes and cauliflower with chives', 'Sour')"
"('simple avgolemono', 'Hoppy')"
"('easy peach cobbler', 'Specialty')"
"('vegetable lasagna neomonde', 'Fruity/Spicy')"
"('papa roberto s spinach lasagna', 'Hoppy')"
"('cottage cheese meatloaf', 'Fruity/Spicy')"
"('asian pork kofte with sweet limed slaw', 'Hoppy')"
"('honey ribs', 'Malty')"
"('spiked pink lemonade', 'Fruity/Spicy')"
"('chicken and macaroni', 'Malty')"
"('delicious wild rice and mushroom soup', 'Hoppy')"
"('low cal  fat free garlic mashed potatoes', 'Malty')"
"('quick   easy fruit cobbler', 'Malty')"
"('meatloaf with bbq sauce', 'Hoppy')"
"('passover sponge cake', 'Hoppy')"
"('low fat creamy macaroni   cheese', 'Specialty')"
"('smoky garlic beer cheese', 'Specialty')"
"('butternut snap malter  fruit dip  spread or icing', 'Specialty')"
"('almond cigar', 'Hoppy')"
"('thai style coconut chicken', 'Hoppy')"
"('swiss turkey wrap with fresh basil', 'Fruity/Spicy')"
"('fruit cheese tartlets', 'Specialty')"
"('healthy crepes', 'Specialty')"
"('sptzle with lentils from scratch  gluten free', 'Rich/Hearty')"
"('lemony asparagus and new potatoes', 'Fruity/Spicy')"
"('beef noodle company casserole', 'Specialty')"
"('low fat salmon bisque', 'Hoppy')"
"('sausage apple ring', 'Hoppy')"
"('the best red wine vinaigrette', 'Hoppy')"
"('cornchilada bake  gluten wheat free', 'Specialty')"
"('rosy swirl cranberry bread', 'Specialty')"
"('awesome spinach salad  with poppy seed dressing', 'Fruity/Spicy')"
"('heather s crockpot dressing', 'Hoppy')"
"('dad s bbq sauce', 'Malty')"
"('cauliflower mornay crepes', 'Specialty')"
"('hot crab   shrimp sandwiches', 'Crisp')"
"('30 minute baked potato', 'Sour')"
"('pumpkin custard bread pudding', 'Specialty')"
"('chunky chicken bake', 'Malty')"
"('roasted garlic   chicken  foil wrapped 6 ww points', 'Malty')"
"('rice cooker chicken  wild rice and veggies', 'Malty')"
"('southwest crock pot pork tenderloin', 'Malty')"
"('bacon and cheese appetizer bites', 'Smoky')"
"('chinese', 'Hoppy')"
"('savoury bean pot', 'Hoppy')"
"('summer cherry sorbet', 'Sour')"
"('sauerkraut mit kielbasa', 'Malty')"
"('egg salad with shrimp and bacon', 'Hoppy')"
"('shredded beef pappardelle in creamy tomato marinara', 'Fruity/Spicy')"
"('asian grilled chicken breasts', 'Fruity/Spicy')"
"('make your own mexican pizza', 'Fruity/Spicy')"
"('chocolate wagon wheel cookies', 'Specialty')"
"('homemade garlic lime mayonnaise', 'Hoppy')"
"('mc donald s milkshakes', 'Specialty')"
"('no bake chocolate two cheese pie', 'Specialty')"
"('ricotta lemon pancakes', 'Hoppy')"
"('onion bhajia', 'Malty')"
"('red curry noodles', 'Hoppy')"
"('bachelor s bounty', 'Hoppy')"
"('mexican restaurant style salsa super easy and quick', 'Hoppy')"
"('pacific rim fruit salad', 'Fruity/Spicy')"
"('sheila s tasty broccoli', 'Malty')"
"('dublin short ribs', 'Hoppy')"
"('stowe blueberry oven puffed pancake', 'Specialty')"
"('oven fried chicken and black bean chimichangas  oamc', 'Fruity/Spicy')"
"('spicy cuban mojo chicken with mango avocado salsa', 'Hoppy')"
"('plain roasted artichoke hearts', 'Hoppy')"
"('a symphony of french chocolate truffles', 'Specialty')"
"('broccoli endive boats', 'Hoppy')"
"('chris s pueblo green chili sauce', 'Hoppy')"
"('broccoli and stuffing casserole', 'Roasty')"
"('fruit and nut snack mix', 'Smoky')"
"('okra goulash', 'Hoppy')"
"('grilled stuffed portabella mushrooms  vegetarian', 'Specialty')"
"('christmas  kissmas  almond cookies', 'Sour')"
"('campfire spam and red sauce with pasta', 'Fruity/Spicy')"
"('mom bennett s venison gravy', 'Roasty')"
"('my version of fry bread', 'Rich/Hearty')"
"('grilled ham with pineapple and cantaloupe', 'Malty')"
"('hoffelgritz   aka  to our surprise    cincinnati goetta', 'Roasty')"
"('banana bread  king arthur', 'Specialty')"
"('healthy  kind of   chocolate mint brownies', 'Crisp')"
"('better baked french toast', 'Specialty')"
"('polish doughnuts   paczki', 'Fruity/Spicy')"
"('fairly authentic cincinnati chili', 'Malty')"
"('oatmeal cookie biscotti', 'Specialty')"
"('company cake', 'Specialty')"
"('christmas ham  joulukinkku', 'Specialty')"
"('schlagsahne  sweetened cream topping', 'Specialty')"
"('vanilla creme with fresh berry jam', 'Crisp')"
"('simple sesame soy oriental noodles', 'Malty')"
"('lettuce wedge salad   like outback', 'Hoppy')"
"('ginger soy tofu vegetable stir fry', 'Fruity/Spicy')"
"('fast garlic knots  no pizza dough needed', 'Hoppy')"
"('hearty leek   potato soup', 'Hoppy')"
"('sugar free applesauce raisin muffins', 'Specialty')"
"('cranberry swiss dip', 'Specialty')"
"('teriyaki vinaigrette or marinade', 'Crisp')"
"('chicken mexican soup   for canning', 'Malty')"
"('country baked noodles', 'Specialty')"
"('beef barbecue casserole', 'Malty')"
"('mini shrimp cocktail appetizers', 'Specialty')"
"('raspberry crumble muffins', 'Fruity/Spicy')"
"('foolproof beef   broccoli', 'Rich/Hearty')"
"('candy cane fudge', 'Specialty')"
"('slow cooker cheese stuffed meatballs and sauce', 'Hoppy')"
"('linguine with clams  pancetta  chili and white wine', 'Hoppy')"
"('sourdough biscuits', 'Malty')"
"('mushrooms in cognac herb sauce', 'Hoppy')"
"('spiced cran apple cider', 'Malty')"
"('apple and dried cranberry pie', 'Malty')"
"('spicy potato wedges with chili dip', 'Hoppy')"
"('soybean pie', 'Hoppy')"
"('harbour lights', 'Malty')"
"('best  easiest   low fat  chicken verde enchiladas', 'Fruity/Spicy')"
"('hibachi style fried rice', 'Sour')"
"('tomato beef curry', 'Hoppy')"
"('pennsylvania german fried tomatoes', 'Hoppy')"
"('3 veg cauliflower cheese', 'Rich/Hearty')"
"('bayou turtle soup', 'Hoppy')"
"('bacon whipped sweet potatoes', 'Smoky')"
"('can do quick sweet dough', 'Malty')"
"('kato tea', 'Malty')"
"('walnut banana upside down cake', 'Malty')"
"('garlic herb salmon patties', 'Fruity/Spicy')"
"('upside down cranberry crunch', 'Specialty')"
"('crock pot chicken  bacon and cheese', 'Malty')"
"('sunrabbit s vegan creamy corn chowder', 'Hoppy')"
"('spicy cabbage', 'Hoppy')"
"('northwest chicken salad', 'Fruity/Spicy')"
"('mexican spiced steak with chipotle con queso sauce', 'Hoppy')"
"('jumbo thai stuffed shrimp', 'Malty')"
"('screamin  green beans', 'Hoppy')"
"('smoky corn   potato chowder  5fix', 'Smoky')"
"('no fuss peanut butter pie', 'Specialty')"
"('yogurt berry fluff', 'Specialty')"
"('creamy augratin potatoes', 'Hoppy')"
"('neapolitan cheesecake', 'Specialty')"
"('chicken hoisin lettuce wraps', 'Crisp')"
"('corn and butternut squash with basil', 'Fruity/Spicy')"
"('parmesan roasted cauliflower', 'Hoppy')"
"('easy rice cooker matsutake gohan', 'Roasty')"
"('oven garlic fries', 'Rich/Hearty')"
"('chicken polenta bake', 'Fruity/Spicy')"
"('fondants au chocolat', 'Roasty')"
"('mushroom mania marzetti for mom', 'Fruity/Spicy')"
"('smoked salmon on irish soda bread crostini', 'Smoky')"
"('sue bee honey tangy mini meatballs', 'Hoppy')"
"('thai sweet garlicky cauliflower with red pepper strips', 'Hoppy')"
"('awesome apple crepes', 'Specialty')"
"('kelly s crock pot  smoked  roast beef or brisket  2', 'Hoppy')"
"('mennonite borsht', 'Hoppy')"
"('butterscotch taffy', 'Malty')"
"('crock pot potluck beans  slow cooker', 'Smoky')"
"('chicken with red potatoes', 'Malty')"
"('sour cream and shrimp curry', 'Hoppy')"
"('traditional cornbread dressing', 'Malty')"
"('carolina chili beans', 'Hoppy')"
"('lemon pigs', 'Hoppy')"
"('chicken bacon burgers  quick   easy', 'Crisp')"
"('high rollin chile cherry salsa', 'Hoppy')"
"('california tacos', 'Hoppy')"
"('chicken with fennel  tomatoes  and zucchini', 'Malty')"
"('scalloped potatoes with garlic and cream', 'Hoppy')"
"('cookies and cream ice cream', 'Specialty')"
"('gyros quick and easy  donair   donar', 'Hoppy')"
"('tangerine caipirinha', 'Hoppy')"
"('microwave corn on the cob', 'Malty')"
"('wine steamed  beer can  chicken', 'Fruity/Spicy')"
"('curried tomato shrimp', 'Hoppy')"
"('french 77', 'Fruity/Spicy')"
"('salmon steaks teriyaki style', 'Crisp')"
"('summer chopped salad with arugula vinaigrette', 'Hoppy')"
"('wiggly cookies', 'Specialty')"
"('chocolate coffee toffee cookies', 'Specialty')"
"('simply roasted cauliflower', 'Hoppy')"
"('cranberry pecan brown rice stuffing', 'Hoppy')"
"('philly steak sandwiches', 'Hoppy')"
"('zucchini with citrus herb dressing', 'Fruity/Spicy')"
"('pork tenderloins stuffed with dry tomatoes', 'Hoppy')"
"('southern fried peach pies', 'Malty')"
"('beach house beans', 'Hoppy')"
"('blue star', 'Fruity/Spicy')"
"('moist poppy seed bundt cake', 'Specialty')"
"('beef with soy sauce and ginger', 'Hoppy')"
"('easy cheesecake lemon bars', 'Fruity/Spicy')"
"('avocado mayonnaise spread', 'Crisp')"
"('outrageous strawberry pie', 'Malty')"
"('lavash bread', 'Malty')"
"('soooo simple soup', 'Hoppy')"
"('swiss chicken and ham rollups', 'Specialty')"
"('breakfast protein shake', 'Malty')"
"('avocado green goddess dressing dip', 'Hoppy')"
"('favorite homemade buttermilk biscuits', 'Malty')"
"('melissa s pumpkin cheesecake with vanilla mousse', 'Specialty')"
"('salami roll ups', 'Specialty')"
"('double chocolate mini brownies   company s coming', 'Roasty')"
"('yankee girl s southern roast chicken with cornbread stuffing', 'Hoppy')"
"('no corn syrup hard candy', 'Specialty')"
"('poor man s steak', 'Hoppy')"
"('cherry chocolate cake', 'Roasty')"
"('tom s hash browns casserole', 'Specialty')"
"('lemony mustard chicken', 'Malty')"
"('inside out chocolate bundt cake', 'Specialty')"
"('linda s perfect popovers', 'Malty')"
"('baked spicy citrus chicken', 'Crisp')"
"('cream cheese cut out cookies   tips you will use forever promise', 'Specialty')"
"('baked cheese crusted eggplant', 'Smoky')"
"('5 layer dessert', 'Specialty')"
"('toffee blondies', 'Specialty')"
"('chocolate cherry slice', 'Roasty')"
"('raspberry coconut bars', 'Fruity/Spicy')"
"('fried rice w  chicken', 'Malty')"
"('turkey teriyaki with grilled mushrooms', 'Roasty')"
"('whole wheat cinnamon rolls for the bread machine', 'Specialty')"
"('dan s favorite mac and cheese', 'Fruity/Spicy')"
"('pomegranate salsa', 'Hoppy')"
"('best black magic cake', 'Specialty')"
"('chicken quesadillas that rock', 'Fruity/Spicy')"
"('central market s three bean salad', 'Fruity/Spicy')"
"('classic strawberries and cream', 'Specialty')"
"('really quick authentic chinese egg and tomato stir fry that actually tastes good', 'Malty')"
"('banana apple bran loaf', 'Malty')"
"('magic bullet it s ready already alfredo', 'Hoppy')"
"('clarence s crab dip', 'Hoppy')"
"('yaya s matzah lasagna  dairy', 'Specialty')"
"('green and yellow bean salad with chunky tomato dressing and feta', 'Fruity/Spicy')"
"('smoky smothered chicken', 'Fruity/Spicy')"
"('guy fieri s grilled shrimp tacos', 'Hoppy')"
"('chocolate cream cheese frosting', 'Specialty')"
"('whole grain apple pie', 'Rich/Hearty')"
"('cracked chocolate chipper cookies', 'Specialty')"
"('pesto stuffed pork chops', 'Malty')"
"('grand marnier hot chocolate', 'Specialty')"
"('carrot cake fudge', 'Specialty')"
"('brownie krispies', 'Specialty')"
"('autumn apple buckle', 'Specialty')"
"('5 ingredient macaroni and cheese', 'Fruity/Spicy')"
"('stomparato  stampede', 'Hoppy')"
"('sauteed garlic mushrooms', 'Malty')"
"('black currant liqueur  liqueur de cassis', 'Malty')"
"('cranberry apple salad', 'Specialty')"
"('chicken soup for a family s soul', 'Fruity/Spicy')"
"('spicy chicken dippers', 'Fruity/Spicy')"
"('fluffy fruit dip', 'Specialty')"
"('husband s delight   hungarian style', 'Hoppy')"
"('sweet potato burrito', 'Sour')"
"('low fat poppy seed dressing', 'Malty')"
"('grilled steak  easy   restaurant delicious', 'Hoppy')"
"('crescent roll casserole', 'Fruity/Spicy')"
"('porchetta   italian marketplace slow roast pulled pork sandwich', 'Malty')"
"('goat cheese spinach salad', 'Fruity/Spicy')"
"('don t want to go to town fish sandwich longmeadow farm', 'Crisp')"
"('mashed yukon golds with roasted garlic', 'Sour')"
"('homemade cinnamon ice cream', 'Specialty')"
"('scallop piccata with sauteed spinach', 'Hoppy')"
"('bulgur wheat and roasted vegetable salad', 'Rich/Hearty')"
"('mincemeat upside down cake  simplified', 'Specialty')"
"('potato and cheese omelette', 'Fruity/Spicy')"
"('new england blueberry muffins', 'Malty')"
"('spaghetti squash with meatballs and cabernet marinara sauce', 'Hoppy')"
"('david s taco salad', 'Specialty')"
"('leeks  n  bacon', 'Smoky')"
"('whole wheat oatmeal buttermilk bread', 'Malty')"
"('lemon tea  cha de limao', 'Hoppy')"
"('emily s cheesy corn casserole', 'Specialty')"
"('diabetic cream puff filling', 'Specialty')"
"('tarragon mayonnaise cod steaks', 'Hoppy')"
"('different potato salad', 'Hoppy')"
"('rice krispie squares', 'Sour')"
"('mexican hot chocolate   4 ww points', 'Roasty')"
"('whole wheat dinner rolls', 'Malty')"
"('cheese and mushroom stuffed chicken breasts', 'Fruity/Spicy')"
"('authentic southern cornbread dressing from dixie', 'Malty')"
"('coffee coke fizz', 'Roasty')"
"('mango swirl bread', 'Malty')"
"('thai style broiled chicken wings with hot and sour sauce', 'Malty')"
"('lucas candy', 'Hoppy')"
"('carrot salad with toasted almonds', 'Hoppy')"
"('peri peri chicken livers', 'Hoppy')"
"('beef curry with potatoes', 'Hoppy')"
"('pasta al pomodoro  tia s take on basta pasta s recipe', 'Fruity/Spicy')"
"('melt in your mouth strawberry muffins', 'Specialty')"
"('red velvet cheesecake swirl brownies', 'Specialty')"
"('raisin cream bars', 'Specialty')"
"('panera bread tomato mozzarella salad', 'Fruity/Spicy')"
"('boursin twice baked potatoes', 'Fruity/Spicy')"
"('floridanative s artichoke   white bean soup', 'Fruity/Spicy')"
"('easy grilled s mores', 'Crisp')"
"('hearty breakfast casserole', 'Specialty')"
